method,sigma,gate_min,gate_max,max_scale_ratio
fourier_normalized,0.680711567401886,1.0,1.0,1.0
fourier_normalized,0.6865389347076416,1.0,1.0,1.0
fourier_normalized,0.692416250705719,1.0,1.0,1.0
fourier_normalized,0.698343813419342,1.0,1.0,1.0
fourier_normalized,0.7043221592903137,1.0,1.0,1.0
fourier_normalized,0.7103517055511475,1.0,1.0,1.0
fourier_normalized,0.7164328098297119,1.0,1.0,1.0
fourier_normalized,0.7225660085678101,1.0,1.0,1.0
fourier_normalized,0.7287517189979553,1.0,1.0,1.0
fourier_normalized,0.7349903583526611,1.0,1.0,1.0
fourier_normalized,0.7412824630737305,1.0,1.0,1.0
fourier_normalized,0.747628390789032,1.0,1.0,1.0
fourier_normalized,0.7540286183357239,1.0,1.0,1.0
fourier_normalized,0.7604836821556091,1.0,1.0,1.0
fourier_normalized,0.7669939398765564,1.0,1.0,1.0
fourier_normalized,0.7735599875450134,1.0,1.0,1.0
fourier_normalized,0.7801822423934937,1.0,1.0,1.0
fourier_normalized,0.7868611812591553,1.0,1.0,1.0
fourier_normalized,0.7935972809791565,1.0,1.0,1.0
fourier_normalized,0.8003910779953003,1.0,1.0,1.0
fourier_normalized,0.8072429895401001,1.0,1.0,1.0
fourier_normalized,0.8141536116600037,1.0,1.0,1.0
fourier_normalized,0.8211233615875244,1.0,1.0,1.0
fourier_normalized,0.8281527757644653,1.0,1.0,1.0
fourier_normalized,0.8352423906326294,1.0,1.0,1.0
fourier_normalized,0.8423926830291748,1.0,1.0,1.0
fourier_normalized,0.8496041893959045,1.0,1.0,1.0
fourier_normalized,0.8568774461746216,1.0,1.0,1.0
fourier_normalized,0.8642129302024841,1.0,1.0,1.0
fourier_normalized,0.8716112375259399,1.0,1.0,1.0
fourier_normalized,0.8790728449821472,1.0,1.0,1.0
fourier_normalized,0.8865984082221985,1.0,1.0,1.0
fourier_normalized,0.8941883444786072,1.0,1.0,1.0
fourier_normalized,0.901843249797821,1.0,1.0,1.0
fourier_normalized,0.9095636606216431,1.0,1.0,1.0
fourier_normalized,0.9173502326011658,1.0,1.0,1.0
fourier_normalized,0.9252034425735474,1.0,1.0,1.0
fourier_normalized,0.9331238269805908,1.0,1.0,1.0
fourier_normalized,0.9411121010780334,1.0,1.0,1.0
fourier_normalized,0.9491686820983887,1.0,1.0,1.0
fourier_normalized,0.9572942852973938,1.0,1.0,1.0
fourier_normalized,0.9654894471168518,1.0,1.0,1.0
fourier_normalized,0.9737547039985657,1.0,1.0,1.0
fourier_normalized,0.9820907711982727,1.0,1.0,1.0
fourier_normalized,0.9904981851577759,1.0,1.0,1.0
fourier_normalized,0.9989776015281677,1.0,1.0,1.0
fourier_normalized,1.007529616355896,1.0,1.0,1.0
fourier_normalized,1.0161547660827637,1.0,1.0,1.0
fourier_normalized,1.0248538255691528,1.0,1.0,1.0
fourier_normalized,1.0336273908615112,1.0,1.0,1.0
fourier_normalized,1.042475938796997,1.0,1.0,1.0
fourier_normalized,1.0514003038406372,1.0,1.0,1.0
fourier_normalized,1.0604010820388794,1.0,1.0,1.0
fourier_normalized,1.0694788694381714,1.0,1.0,1.0
fourier_normalized,1.0786343812942505,1.0,1.0,1.0
fourier_normalized,1.087868332862854,1.0,1.0,1.0
fourier_normalized,1.0971813201904297,1.0,1.0,1.0
fourier_normalized,1.1065739393234253,1.0,1.0,1.0
fourier_normalized,1.1160470247268677,1.0,1.0,1.0
fourier_normalized,1.1256012916564941,1.0,1.0,1.0
fourier_normalized,1.135237216949463,1.0,1.0,1.0
fourier_normalized,1.1449557542800903,1.0,1.0,1.0
fourier_normalized,1.1547573804855347,1.0,1.0,1.0
fourier_normalized,1.1646429300308228,1.0,1.0,1.0
fourier_normalized,1.174613118171692,1.0,1.0,1.0
fourier_normalized,1.1846686601638794,1.0,1.0,1.0
fourier_normalized,1.194810390472412,1.0,1.0,1.0
fourier_normalized,1.2050387859344482,1.0,1.0,1.0
fourier_normalized,1.2153548002243042,1.0,1.0,1.0
fourier_normalized,1.2257591485977173,1.0,1.0,1.0
fourier_normalized,1.2362525463104248,1.0,1.0,1.0
fourier_normalized,1.2468358278274536,1.0,1.0,1.0
fourier_normalized,1.2575095891952515,1.0,1.0,1.0
fourier_normalized,1.2682749032974243,1.0,1.0,1.0
fourier_normalized,1.2791322469711304,1.0,1.0,1.0
fourier_normalized,1.290082573890686,1.0,1.0,1.0
fourier_normalized,1.3011265993118286,1.0,1.0,1.0
fourier_normalized,1.312265157699585,1.0,1.0,1.0
fourier_normalized,1.3234992027282715,1.0,1.0,1.0
fourier_normalized,1.334829330444336,1.0,1.0,1.0
fourier_normalized,1.3462563753128052,1.0,1.0,1.0
fourier_normalized,1.3577814102172852,1.0,1.0,1.0
fourier_normalized,1.3694050312042236,1.0,1.0,1.0
fourier_normalized,1.3811280727386475,1.0,1.0,1.0
fourier_normalized,1.3929516077041626,1.0,1.0,1.0
fourier_normalized,1.4048762321472168,1.0,1.0,1.0
fourier_normalized,1.416903018951416,1.0,1.0,1.0
fourier_normalized,1.429032802581787,1.0,1.0,1.0
fourier_normalized,1.441266417503357,1.0,1.0,1.0
fourier_normalized,1.4536046981811523,1.0,1.0,1.0
fourier_normalized,1.4660485982894897,1.0,1.0,1.0
fourier_normalized,1.4785990715026855,1.0,1.0,1.0
fourier_normalized,1.4912569522857666,1.0,1.0,1.0
fourier_normalized,1.5040231943130493,1.0,1.0,1.0
fourier_normalized,1.51689875125885,1.0,1.0,1.0
fourier_normalized,1.5298845767974854,1.0,1.0,1.0
fourier_normalized,1.542981505393982,1.0,1.0,1.0
fourier_normalized,1.5561906099319458,1.0,1.0,1.0
fourier_normalized,1.5695127248764038,1.0,1.0,1.0
fourier_normalized,1.582948923110962,1.0,1.0,1.0
fourier_normalized,1.5965001583099365,1.0,1.0,1.0
fourier_normalized,1.610167384147644,1.0,1.0,1.0
fourier_normalized,1.6239515542984009,1.0,1.0,1.0
fourier_normalized,1.637853741645813,1.0,1.0,1.0
fourier_normalized,1.6518750190734863,1.0,1.0,1.0
fourier_normalized,1.6660163402557373,1.0,1.0,1.0
fourier_normalized,1.6802786588668823,1.0,1.0,1.0
fourier_normalized,1.6946630477905273,1.0,1.0,1.0
fourier_normalized,1.7091705799102783,1.0,1.0,1.0
fourier_normalized,1.7238024473190308,1.0,1.0,1.0
fourier_normalized,1.738559365272522,1.0,1.0,1.0
fourier_normalized,1.7534427642822266,1.0,1.0,1.0
fourier_normalized,1.7684534788131714,1.0,1.0,1.0
fourier_normalized,1.7835928201675415,1.0,1.0,1.0
fourier_normalized,1.7988616228103638,1.0,1.0,1.0
fourier_normalized,1.8142613172531128,1.0,1.0,1.0
fourier_normalized,1.8297927379608154,1.0,1.0,1.0
fourier_normalized,1.8454570770263672,1.0,1.0,1.0
fourier_normalized,1.8612555265426636,1.0,1.0,1.0
fourier_normalized,1.8771892786026,1.0,1.0,1.0
fourier_normalized,1.8932594060897827,1.0,1.0,1.0
fourier_normalized,1.909467101097107,1.0,1.0,1.0
fourier_normalized,1.9258135557174683,1.0,1.0,1.0
fourier_normalized,1.9422999620437622,1.0,1.0,1.0
fourier_normalized,1.9589273929595947,1.0,1.0,1.0
fourier_normalized,1.9756972789764404,1.0,1.0,1.0
fourier_normalized,1.9926106929779053,1.0,1.0,1.0
fourier_normalized,2.009669065475464,1.0,1.0,1.0
fourier_normalized,2.0268731117248535,1.0,1.0,1.0
fourier_normalized,2.044224739074707,1.0,1.0,1.0
fourier_normalized,2.061724901199341,1.0,1.0,1.0
fourier_normalized,2.0793747901916504,1.0,1.0,1.0
fourier_normalized,2.0971755981445312,1.0,1.0,1.0
fourier_normalized,2.115128993988037,1.0,1.0,1.0
fourier_normalized,2.1332361698150635,1.0,1.0,1.0
fourier_normalized,2.151498317718506,1.0,1.0,1.0
fourier_normalized,2.1699166297912598,1.0,1.0,1.0
fourier_normalized,2.188492774963379,1.0,1.0,1.0
fourier_normalized,2.207227945327759,1.0,1.0,1.0
fourier_normalized,2.226123332977295,1.0,1.0,1.0
fourier_normalized,2.245180606842041,1.0,1.0,1.0
fourier_normalized,2.2644009590148926,1.0,1.0,1.0
fourier_normalized,2.2837860584259033,1.0,1.0,1.0
fourier_normalized,2.3033368587493896,1.0,1.0,1.0
fourier_normalized,2.3230550289154053,1.0,1.0,1.0
fourier_normalized,2.342942237854004,1.0,1.0,1.0
fourier_normalized,2.362999439239502,1.0,1.0,1.0
fourier_normalized,2.3832285404205322,1.0,1.0,1.0
fourier_normalized,2.4036307334899902,1.0,1.0,1.0
fourier_normalized,2.4242076873779297,1.0,1.0,1.0
fourier_normalized,2.444960594177246,1.0,1.0,1.0
fourier_normalized,2.4658913612365723,1.0,1.0,1.0
fourier_normalized,2.4870011806488037,1.0,1.0,1.0
fourier_normalized,2.508291721343994,1.0,1.0,1.0
fourier_normalized,2.529764413833618,1.0,1.0,1.0
fourier_normalized,2.5514211654663086,1.0,1.0,1.0
fourier_normalized,2.573263168334961,1.0,1.0,1.0
fourier_normalized,2.595292329788208,1.0,1.0,1.0
fourier_normalized,2.6175098419189453,1.0,1.0,1.0
fourier_normalized,2.6399176120758057,1.0,1.0,1.0
fourier_normalized,2.6625173091888428,1.0,1.0,1.0
fourier_normalized,2.6853103637695312,1.0,1.0,1.0
fourier_normalized,2.708298683166504,1.0,1.0,1.0
fourier_normalized,2.7314836978912354,1.0,1.0,1.0
fourier_normalized,2.7548673152923584,1.0,1.0,1.0
fourier_normalized,2.7784509658813477,1.0,1.0,1.0
fourier_normalized,2.802236557006836,1.0,1.0,1.0
fourier_normalized,2.826225757598877,1.0,1.0,1.0
fourier_normalized,2.8504204750061035,1.0,1.0,1.0
fourier_normalized,2.8748221397399902,1.0,1.0,1.0
fourier_normalized,2.89943265914917,1.0,1.0,1.0
fourier_normalized,2.9242539405822754,1.0,1.0,1.0
fourier_normalized,2.9492876529693604,1.0,1.0,1.0
fourier_normalized,2.9745359420776367,1.0,1.0,1.0
fourier_normalized,3.0,1.0,1.0,1.0
fourier_gate_s1p5_p4,0.10000000149011612,1.9752693333430216e-05,1.9752693333430216e-05,1.0568252801895142
fourier_gate_s1p5_p4,0.10085607320070267,2.043781387328636e-05,2.043781387328636e-05,1.057775616645813
fourier_gate_s1p5_p4,0.10171947628259659,2.114667950081639e-05,2.114667950081639e-05,1.0587414503097534
fourier_gate_s1p5_p4,0.10259027034044266,2.188014696002938e-05,2.188014696002938e-05,1.059722900390625
fourier_gate_s1p5_p4,0.10346852242946625,2.2639036615146324e-05,2.2639036615146324e-05,1.0607203245162964
fourier_gate_s1p5_p4,0.10435428470373154,2.3424267055816017e-05,2.3424267055816017e-05,1.0617338418960571
fourier_gate_s1p5_p4,0.10524763911962509,2.423671139695216e-05,2.423671139695216e-05,1.062764048576355
fourier_gate_s1p5_p4,0.1061486303806305,2.5077357349800877e-05,2.5077357349800877e-05,1.0638108253479004
fourier_gate_s1p5_p4,0.1070573478937149,2.5947134417947382e-05,2.5947134417947382e-05,1.0648744106292725
fourier_gate_s1p5_p4,0.10797383636236191,2.6847104891203344e-05,2.6847104891203344e-05,1.0659552812576294
fourier_gate_s1p5_p4,0.10889817029237747,2.7778260118793696e-05,2.7778260118793696e-05,1.0670535564422607
fourier_gate_s1p5_p4,0.10983041673898697,2.874173878808506e-05,2.874173878808506e-05,1.0681695938110352
fourier_gate_s1p5_p4,0.11077065020799637,2.9738608645857312e-05,2.9738608645857312e-05,1.0693036317825317
fourier_gate_s1p5_p4,0.11171893030405045,3.0770079320063815e-05,3.0770079320063815e-05,1.0704559087753296
fourier_gate_s1p5_p4,0.11267532408237457,3.18372949550394e-05,3.18372949550394e-05,1.0716267824172974
fourier_gate_s1p5_p4,0.11363990604877472,3.29415597661864e-05,3.29415597661864e-05,1.0728163719177246
fourier_gate_s1p5_p4,0.11461275070905685,3.408411794225685e-05,3.408411794225685e-05,1.0740249156951904
fourier_gate_s1p5_p4,0.11559391766786575,3.52662755176425e-05,3.52662755176425e-05,1.0752531290054321
fourier_gate_s1p5_p4,0.11658348888158798,3.648946221801452e-05,3.648946221801452e-05,1.0765008926391602
fourier_gate_s1p5_p4,0.11758153140544891,3.775503864744678e-05,3.775503864744678e-05,1.0777685642242432
fourier_gate_s1p5_p4,0.11858811229467392,3.906454730895348e-05,3.906454730895348e-05,1.0790566205978394
fourier_gate_s1p5_p4,0.11960331350564957,4.041943248012103e-05,4.041943248012103e-05,1.0803653001785278
fourier_gate_s1p5_p4,0.12062720954418182,4.1821349441306666e-05,4.1821349441306666e-05,1.0816946029663086
fourier_gate_s1p5_p4,0.12165986746549606,4.3271844333503395e-05,4.3271844333503395e-05,1.083045244216919
fourier_gate_s1p5_p4,0.12270136922597885,4.477269249036908e-05,4.477269249036908e-05,1.0844172239303589
fourier_gate_s1p5_p4,0.12375178188085556,4.6325545554282144e-05,4.6325545554282144e-05,1.0858112573623657
fourier_gate_s1p5_p4,0.12481118738651276,4.7932302550179884e-05,4.7932302550179884e-05,1.08722722530365
