method,sigma,gate_min,gate_max,max_scale_ratio
fourier_normalized,0.5965023636817932,1.0,1.0,1.0
fourier_normalized,0.6033264994621277,1.0,1.0,1.0
fourier_normalized,0.6102286577224731,1.0,1.0,1.0
fourier_normalized,0.617209792137146,1.0,1.0,1.0
fourier_normalized,0.6242707967758179,1.0,1.0,1.0
fourier_normalized,0.6314125657081604,1.0,1.0,1.0
fourier_normalized,0.6386359930038452,1.0,1.0,1.0
fourier_normalized,0.6459421515464783,1.0,1.0,1.0
fourier_normalized,0.6533318161964417,1.0,1.0,1.0
fourier_normalized,0.6608060598373413,1.0,1.0,1.0
fourier_normalized,0.6683658361434937,1.0,1.0,1.0
fourier_normalized,0.6760120391845703,1.0,1.0,1.0
fourier_normalized,0.6837457418441772,1.0,1.0,1.0
fourier_normalized,0.6915679574012756,1.0,1.0,1.0
fourier_normalized,0.6994795799255371,1.0,1.0,1.0
fourier_normalized,0.7074817419052124,1.0,1.0,1.0
fourier_normalized,0.7155755162239075,1.0,1.0,1.0
fourier_normalized,0.723761796951294,1.0,1.0,1.0
fourier_normalized,0.7320417761802673,1.0,1.0,1.0
fourier_normalized,0.7404164671897888,1.0,1.0,1.0
fourier_normalized,0.7488870024681091,1.0,1.0,1.0
fourier_normalized,0.7574543952941895,1.0,1.0,1.0
fourier_normalized,0.7661197781562805,1.0,1.0,1.0
fourier_normalized,0.7748843431472778,1.0,1.0,1.0
fourier_normalized,0.7837491631507874,1.0,1.0,1.0
fourier_normalized,0.7927154302597046,1.0,1.0,1.0
fourier_normalized,0.8017842173576355,1.0,1.0,1.0
fourier_normalized,0.8109567761421204,1.0,1.0,1.0
fourier_normalized,0.8202342987060547,1.0,1.0,1.0
fourier_normalized,0.8296179175376892,1.0,1.0,1.0
fourier_normalized,0.8391088843345642,1.0,1.0,1.0
fourier_normalized,0.84870845079422,1.0,1.0,1.0
fourier_normalized,0.8584178686141968,1.0,1.0,1.0
fourier_normalized,0.8682383298873901,1.0,1.0,1.0
fourier_normalized,0.8781710863113403,1.0,1.0,1.0
fourier_normalized,0.888217568397522,1.0,1.0,1.0
fourier_normalized,0.8983789086341858,1.0,1.0,1.0
fourier_normalized,0.9086565375328064,1.0,1.0,1.0
fourier_normalized,0.9190517663955688,1.0,1.0,1.0
fourier_normalized,0.9295658469200134,1.0,1.0,1.0
fourier_normalized,0.9402002692222595,1.0,1.0,1.0
fourier_normalized,0.9509563446044922,1.0,1.0,1.0
fourier_normalized,0.9618354439735413,1.0,1.0,1.0
fourier_normalized,0.9728390574455261,1.0,1.0,1.0
fourier_normalized,0.9839684963226318,1.0,1.0,1.0
fourier_normalized,0.9952252507209778,1.0,1.0,1.0
fourier_normalized,1.0066108703613281,1.0,1.0,1.0
fourier_normalized,1.0181266069412231,1.0,1.0,1.0
fourier_normalized,1.0297741889953613,1.0,1.0,1.0
fourier_normalized,1.0415550470352173,1.0,1.0,1.0
fourier_normalized,1.0534706115722656,1.0,1.0,1.0
fourier_normalized,1.06552255153656,1.0,1.0,1.0
fourier_normalized,1.0777122974395752,1.0,1.0,1.0
fourier_normalized,1.0900415182113647,1.0,1.0,1.0
fourier_normalized,1.1025117635726929,1.0,1.0,1.0
fourier_normalized,1.1151247024536133,1.0,1.0,1.0
fourier_normalized,1.1278820037841797,1.0,1.0,1.0
fourier_normalized,1.1407850980758667,1.0,1.0,1.0
fourier_normalized,1.1538358926773071,1.0,1.0,1.0
fourier_normalized,1.1670360565185547,1.0,1.0,1.0
fourier_normalized,1.1803871393203735,1.0,1.0,1.0
fourier_normalized,1.1938910484313965,1.0,1.0,1.0
fourier_normalized,1.2075493335723877,1.0,1.0,1.0
fourier_normalized,1.22136390209198,1.0,1.0,1.0
fourier_normalized,1.2353365421295166,1.0,1.0,1.0
fourier_normalized,1.2494690418243408,1.0,1.0,1.0
fourier_normalized,1.263763189315796,1.0,1.0,1.0
fourier_normalized,1.2782208919525146,1.0,1.0,1.0
fourier_normalized,1.2928439378738403,1.0,1.0,1.0
fourier_normalized,1.3076343536376953,1.0,1.0,1.0
fourier_normalized,1.3225939273834229,1.0,1.0,1.0
fourier_normalized,1.3377246856689453,1.0,1.0,1.0
fourier_normalized,1.353028416633606,1.0,1.0,1.0
fourier_normalized,1.3685073852539062,1.0,1.0,1.0
fourier_normalized,1.3841633796691895,1.0,1.0,1.0
fourier_normalized,1.399998426437378,1.0,1.0,1.0
fourier_normalized,1.4160146713256836,1.0,1.0,1.0
fourier_normalized,1.4322141408920288,1.0,1.0,1.0
fourier_normalized,1.448598861694336,1.0,1.0,1.0
fourier_normalized,1.465171217918396,1.0,1.0,1.0
fourier_normalized,1.4819329977035522,1.0,1.0,1.0
fourier_normalized,1.4988865852355957,1.0,1.0,1.0
fourier_normalized,1.5160341262817383,1.0,1.0,1.0
fourier_normalized,1.5333778858184814,1.0,1.0,1.0
fourier_normalized,1.550920009613037,1.0,1.0,1.0
fourier_normalized,1.5686627626419067,1.0,1.0,1.0
fourier_normalized,1.5866085290908813,1.0,1.0,1.0
fourier_normalized,1.604759693145752,1.0,1.0,1.0
fourier_normalized,1.6231184005737305,1.0,1.0,1.0
fourier_normalized,1.6416871547698975,1.0,1.0,1.0
fourier_normalized,1.660468339920044,1.0,1.0,1.0
fourier_normalized,1.6794644594192505,1.0,1.0,1.0
fourier_normalized,1.698677897453308,1.0,1.0,1.0
fourier_normalized,1.7181110382080078,1.0,1.0,1.0
fourier_normalized,1.7377665042877197,1.0,1.0,1.0
fourier_normalized,1.757646918296814,1.0,1.0,1.0
fourier_normalized,1.777754783630371,1.0,1.0,1.0
fourier_normalized,1.7980926036834717,1.0,1.0,1.0
fourier_normalized,1.8186631202697754,1.0,1.0,1.0
fourier_normalized,1.8394689559936523,1.0,1.0,1.0
fourier_normalized,1.8605128526687622,1.0,1.0,1.0
fourier_normalized,1.881797432899475,1.0,1.0,1.0
fourier_normalized,1.9033255577087402,1.0,1.0,1.0
fourier_normalized,1.9250999689102173,1.0,1.0,1.0
fourier_normalized,1.947123408317566,1.0,1.0,1.0
fourier_normalized,1.969398856163025,1.0,1.0,1.0
fourier_normalized,1.9919291734695435,1.0,1.0,1.0
fourier_normalized,2.0147171020507812,1.0,1.0,1.0
fourier_normalized,2.0377659797668457,1.0,1.0,1.0
fourier_normalized,2.0610783100128174,1.0,1.0,1.0
fourier_normalized,2.0846574306488037,1.0,1.0,1.0
fourier_normalized,2.108506441116333,1.0,1.0,1.0
fourier_normalized,2.1326279640197754,1.0,1.0,1.0
fourier_normalized,2.1570258140563965,1.0,1.0,1.0
fourier_normalized,2.1817026138305664,1.0,1.0,1.0
fourier_normalized,2.2066617012023926,1.0,1.0,1.0
