spectrum_lambda,seed,method,noise_bin,sigma,n,score_error,unweighted_score_error,reference_error,relative_to_gaussian,dsm_pixel_mean,frequency_band_0,frequency_band_1,frequency_band_2,frequency_band_3
1.0,43,scalar_normalized,15,2.25,1024,0.02622454683448417,0.005180157399404281,0.027392517260649743,0.9573616979026823,0.1322591678859588,0.07057075915692369,0.038778620061651864,0.01742275654473724,0.012520617568319178
1.0,43,scalar_normalized,16,2.375,1024,0.021754288576350457,0.0038567159802948177,0.022049406552376714,0.9866156045821357,0.1213863387793819,0.06085319252104175,0.031037478734557644,0.014431087311937684,0.011194653102490749
1.0,43,scalar_normalized,17,2.5,1024,0.017900395008487086,0.002864063201357934,0.01654586800333205,1.0818649710539365,0.11352383033205007,0.05062319794774338,0.02484799734066389,0.011978137235962135,0.009742740814569086
1.0,43,fourier_normalized,0,0.5,1024,0.1351820634183739,0.5407282536734956,0.25451124087094984,0.5311437834956693,0.5187479886794193,0.0601643429837496,0.1544927538033665,0.14937721290134912,0.08890233826193865
1.0,43,fourier_normalized,1,0.625,1024,0.13044745517715914,0.3339454852535274,0.245662157011717,0.5310034592382797,0.4337006340010098,0.08273247845510837,0.17295017528630685,0.13362062740393152,0.06940784474978473
1.0,43,fourier_normalized,2,0.75,1024,0.12321039355791027,0.21904069965850714,0.2272133861828322,0.542267318082951,0.36497233668093276,0.10465462639779007,0.1825531737225153,0.11579389406655805,0.05603876421045444
1.0,43,fourier_normalized,3,0.800000011920929,1024,0.12229874239329835,0.19109177929454982,0.22092399094548656,0.5535783681523109,0.3509502965868708,0.11312564056127924,0.18660454137622542,0.11106859202770283,0.05549850215591053
1.0,43,fourier_normalized,4,0.875,1024,0.11447123078786288,0.1495134442943515,0.20802849885256244,0.5502670615769473,0.31469797269629307,0.12999482206854754,0.18163708707865184,0.09906373501249016,0.04464714182193249
1.0,43,fourier_normalized,5,1.0,1024,0.1106353891089745,0.1106353891089745,0.18866346927700323,0.5864165942296715,0.2826585325584179,0.15099696854821099,0.1835275112158956,0.08915791925812785,0.03976340288918185
1.0,43,fourier_normalized,6,1.125,1024,0.10053379317591568,0.07943410818837782,0.16656224675733286,0.6035809142415384,0.2534149907442139,0.15780889959847616,0.174559583952135,0.07532020141069641,0.03236423045204267
1.0,43,fourier_normalized,7,1.25,1024,0.08560951968833194,0.05479009260053244,0.14418740701494248,0.5937378406386074,0.22026618764850042,0.15991614281662833,0.1488950582443856,0.06076855433736436,0.025664085176616114
1.0,43,fourier_normalized,8,1.375,1024,0.07374436300752057,0.039005282913068734,0.12185080469494965,0.6052021009802742,0.20509472888409797,0.153014755736068,0.1317167389954239,0.04913716866750858,0.019603766130989235
1.0,43,fourier_normalized,9,1.5,1024,0.06180850419902831,0.02747044631067925,0.10209634070744247,0.6053939227473476,0.18998130676038133,0.1426209692374562,0.11015194437174408,0.039306511807899694,0.015976323459337343
1.0,43,fourier_normalized,10,1.625,1024,0.05168899258387508,0.019574529735905358,0.08421561102624589,0.6137697269425042,0.17523125420663513,0.1291092243667949,0.0934803738134022,0.03100653476986038,0.012515693371593667
1.0,43,fourier_normalized,11,1.75,1024,0.041930504292731256,0.01369159323844286,0.06931799879163486,0.6049006754908126,0.15945818730388656,0.11229864688390286,0.07446816902622026,0.024821830195142103,0.00962512325121454
1.0,43,fourier_normalized,12,1.875,1024,0.034082746100999775,0.009694647779839936,0.05343565402748417,0.6378278084417122,0.15068338192240627,0.09472829046015177,0.060652749131609354,0.019595789646370505,0.007883718231208902
1.0,43,fourier_normalized,13,2.0,1024,0.026671592863232164,0.006667898215808041,0.04298544785916096,0.6204795853382734,0.14091807580174293,0.07838482557565449,0.047959296356158976,0.014503116044137836,0.006067014241039588
1.0,43,fourier_normalized,14,2.125,1024,0.022002297763299518,0.00487248116557498,0.03455925081612765,0.6366543615300763,0.1304717934088331,0.0671548507518374,0.03901283485668649,0.011921801701871656,0.004758465280151336
1.0,43,fourier_normalized,15,2.25,1024,0.017913392297252945,0.003538447861185767,0.027392517260649743,0.6539520310163727,0.12365694950152148,0.05868635191394567,0.03113298155433454,0.00942366687577644,0.003832552089856495
