spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins,n_seeds
0.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.0214610344721899,0.0005345926819560246,-34.98449295569594,3,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.000893726158639437,5.5326207348370636e-05,-2.191734800453704,3,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.000893725882085368,5.532461793394754e-05,-2.1917341371092025,3,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_linear_sigma,-0.0005771656746019019,0.00043633840458696157,-1.4264898775922297,3,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_linear_sigma,-0.0005771649841201215,0.00043633704842702863,-1.4264881953805153,3,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_tanh_sigma,-2.5989647933766236e-11,4.078631632738527e-09,-6.51641185456242e-08,2,3
0.5,scalar_gate_s1p5_p4_linear_sigma,score,-0.016157404677545017,0.0009315855810685032,-27.3996735395976,3,3
0.5,scalar_gate_s1p5_p4_linear_sigma,scalar_gaussian,-0.04296664244402701,0.003351838200649277,-50.09018238105806,3,3
0.5,scalar_gate_s1p5_p4_linear_sigma,fourier_gaussian,-0.0859125764225221,0.003501845570788749,-66.74143102874251,3,3
0.5,scalar_gate_s1p5_p4_linear_sigma,scalar_normalized,-0.049497847896157486,0.0019558964187664793,-53.62145812435413,3,3
0.5,scalar_gate_s1p5_p4_linear_sigma,fourier_normalized,-0.07693008619813478,0.003748989783422737,-64.24652752858427,3,3
0.5,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4,0.0003055615381130361,0.0003529610150289327,0.7188606381064666,0,3
0.5,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4,0.0004241155605157106,0.00045422667239809175,1.0005601488112248,1,3
0.5,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.013268858473569659,0.0009716533708400075,-23.66025742031721,3,3
0.5,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.016748252535928845,0.000771409189842262,-28.119882023319708,3,3
0.5,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.0002086947185060787,0.00021776097435507446,-0.48510389829673484,2,3
0.5,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.0006530748760356109,0.00043984385815812825,-1.5025303827908454,3,3
0.5,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_linear_sigma,-4.3890727449360144e-05,0.0005135803408870328,-0.10241486131929989,2,3
0.5,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_tanh_sigma,0.0003592986638151288,4.9166594811066744e-05,0.8463519653300722,0,3
0.5,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_tanh_sigma,0.0002597347267746149,0.00039778786778282154,0.6103909246647943,1,3
0.5,fourier_gate_s1p5_p4_linear_sigma,score,-0.016113513950095658,0.0010120852949547505,-27.32524378880976,3,3
0.5,fourier_gate_s1p5_p4_linear_sigma,scalar_gaussian,-0.042922751716577646,0.003767255453696934,-50.03901490746178,3,3
0.5,fourier_gate_s1p5_p4_linear_sigma,fourier_gaussian,-0.08586868569507274,0.003962253972887967,-66.70733439143,3,3
0.5,fourier_gate_s1p5_p4_linear_sigma,scalar_normalized,-0.049453957168708124,0.002346910505632012,-53.57391090959622,3,3
0.5,fourier_gate_s1p5_p4_linear_sigma,fourier_normalized,-0.07688619547068543,0.004087866920795189,-64.20987311977386,3,3
0.5,fourier_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4,0.0003494522655623962,0.0001715974879306812,0.8221174698924472,0,3
0.5,fourier_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4,0.00046800628796507077,0.0001731502710648354,1.1041057785324382,0,3
