spectrum_lambda,seed,method,band,score_error
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.040217811752665145
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04075600491248949
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.04084587936889442
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04039885978995592
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.04021781200541134
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.040756007542869115
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.0408458810524606
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.040398861436395435
0.0,44,scalar_gate_s1p5_p4_linear_sigma,0,0.039744056164032884
0.0,44,scalar_gate_s1p5_p4_linear_sigma,1,0.04003337637246071
0.0,44,scalar_gate_s1p5_p4_linear_sigma,2,0.03990005201270684
0.0,44,scalar_gate_s1p5_p4_linear_sigma,3,0.04000243029121915
0.0,44,fourier_gate_s1p5_p4_linear_sigma,0,0.03974405943856385
0.0,44,fourier_gate_s1p5_p4_linear_sigma,1,0.040033378811520595
0.0,44,fourier_gate_s1p5_p4_linear_sigma,2,0.03990005414992714
0.0,44,fourier_gate_s1p5_p4_linear_sigma,3,0.040002430771104984
0.0,44,scalar_gate_s1p5_p4_tanh_sigma,0,0.03984478722209231
0.0,44,scalar_gate_s1p5_p4_tanh_sigma,1,0.039956173222859166
0.0,44,scalar_gate_s1p5_p4_tanh_sigma,2,0.039759003021028555
0.0,44,scalar_gate_s1p5_p4_tanh_sigma,3,0.039864313109417744
0.0,44,fourier_gate_s1p5_p4_tanh_sigma,0,0.03984478099749175
0.0,44,fourier_gate_s1p5_p4_tanh_sigma,1,0.03995616692176512
0.0,44,fourier_gate_s1p5_p4_tanh_sigma,2,0.0397590030983266
0.0,44,fourier_gate_s1p5_p4_tanh_sigma,3,0.03986430819858548
0.0,44,score,0,0.054589503917348056
0.0,44,score,1,0.05382411840078377
0.0,44,score,2,0.053838903913830095
0.0,44,score,3,0.05363249801021663
0.0,44,scalar_gaussian,0,0.12853302361578686
0.0,44,scalar_gaussian,1,0.13535252080234475
0.0,44,scalar_gaussian,2,0.13252293495331327
0.0,44,scalar_gaussian,3,0.13140597369193807
0.0,44,fourier_gaussian,0,0.1285334212667478
0.0,44,fourier_gaussian,1,0.13535352387500418
0.0,44,fourier_gaussian,2,0.1325235269751687
0.0,44,fourier_gaussian,3,0.131406764855244
0.0,44,scalar_normalized,0,0.1258370038474813
0.0,44,scalar_normalized,1,0.13462636034563408
0.0,44,scalar_normalized,2,0.12859674724521553
0.0,44,scalar_normalized,3,0.12735560588677364
0.0,44,fourier_normalized,0,0.12583712957168455
0.0,44,fourier_normalized,1,0.13462644027237072
0.0,44,fourier_normalized,2,0.12859680203945612
0.0,44,fourier_normalized,3,0.12735564326232737
0.0,44,scalar_gate_s1p5_p4,0,0.039459801931390245
0.0,44,scalar_gate_s1p5_p4,1,0.03935802645588972
