spectrum_lambda,seed,method,region,n,score_error
0.5,43,fourier_gate_s1p5_p4,low,6144,0.014324469820034463
0.5,43,fourier_gate_s1p5_p4,middle,6144,0.05126091199577274
0.5,43,fourier_gate_s1p5_p4,high,6144,0.0622251233978367
0.5,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.017911646319314082
0.5,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06506611579172496
0.5,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.08556826750702035
0.5,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.01757478481122728
0.5,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06509489821443777
0.5,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.0968999075562846
0.5,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.013214471272969083
0.5,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.0497681036756051
0.5,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06568000596110178
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.014155702882744944
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.050850616158851995
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.0658481098294159
0.5,44,scalar_gate_s1p5_p4_linear_sigma,low,6144,0.013428603840977141
0.5,44,scalar_gate_s1p5_p4_linear_sigma,middle,6144,0.049891000399613396
0.5,44,scalar_gate_s1p5_p4_linear_sigma,high,6144,0.06526703810127103
0.5,44,fourier_gate_s1p5_p4_linear_sigma,low,6144,0.013423219842446004
0.5,44,fourier_gate_s1p5_p4_linear_sigma,middle,6144,0.04937643252433358
0.5,44,fourier_gate_s1p5_p4_linear_sigma,high,6144,0.06414783646992728
