sigma,linear_log_sigma,bounded_log_sigmoid
0.4945052438067295,0.4699484886988963,0.1971363407414259
0.4967721838345661,0.47129324544202594,0.19935764601208464
0.49904951610223086,0.4726380021851557,0.20160058936336744
0.5013372882504407,0.4739827589282855,0.20386532139507044
0.5036355481383098,0.47532751567141507,0.20615199197321946
0.5059443438443519,0.47667227241454485,0.20846075016266233
0.5082637236674841,0.4780170291576746,0.21079174415777924
0.5105937361280385,0.4793617859008043,0.21314512121129303
0.512934429968777,0.480706542643934,0.2155210275611439
0.5152858541559112,0.4820512993870637,0.21791960835540772
0.5176480578801262,0.4833960561301935,0.22034100757522765
0.5200210905576098,0.4847408128733231,0.22278536795573958
0.5224050018310868,0.4860855696164529,0.22525283090496145
0.5247998415708569,0.4874303263595826,0.2277435364206244
0.5272056598758379,0.4887750831027123,0.23025762300492456
0.5296225070746146,0.49011983984584206,0.2327952275771738
0.5320504337264903,0.49146459658897174,0.23535648538432255
0.5344894906225459,0.4928093533321014,0.23794152990934456
0.5369397287867015,0.49415411007523113,0.24055049277745502
0.5394011994767841,0.49549886681836086,0.24318350366015143
0.5418739541855996,0.4968436235614906,0.24584069017705776
0.5443580446420107,0.4981883803046203,0.24852217779555683
0.5468535228120182,0.49953313704775004,0.2512280897281994
0.5493604408998485,0.5008778937908798,0.25395854682787483
0.5518788513490461,0.5022226505340095,0.2567136674807388
0.5544088068435701,0.5035674072771391,0.2594935674968808
0.5569503603088962,0.504912164020269,0.26229835999873413
0.5595035649131243,0.5062569207633986,0.26512815530721606
0.562068474068091,0.5076016775065283,0.267983060825602
0.5646451414304863,0.508946434249658,0.27086318092112627
0.567233620902976,0.5102911909927877,0.27376861680431747
0.5698339666353305,0.5116359477359175,0.27669946640606824
0.5724462330255561,0.5129807044790472,0.27965582425244895
0.5750704747210337,0.5143254612221768,0.28263778133727163
0.5777067466196624,0.5156702179653067,0.2856454249924189
0.580355103871007,0.5170149747084364,0.28867883875595074
0.5830156018774522,0.518359731451566,0.29173810223800634
0.5856882962953619,0.5197044881946958,0.29482329098452587
0.5883732430362429,0.5210492449378255,0.2979344763388081
0.591070498267915,0.5223940016809552,0.3010717253009413
0.5937801184156856,0.5237387584240849,0.30423510038512913
0.5965021601635305,0.5250835151672146,0.307424659474952
0.5992366804552796,0.5264282719103444,0.3106404556765992
0.6019837364958076,0.5277730286534741,0.31388253717011166
0.6047433857522317,0.5291177853966037,0.31715094705868746
0.6075156859551131,0.5304625421397335,0.32044572321609505
0.6103006950996643,0.5318072988828632,0.3237668981322463
0.6130984714469638,0.533152055625993,0.32711449875699655
0.6159090735251732,0.5344968123691227,0.3304885463422247
0.6187325601307627,0.5358415691122523,0.33388905628226795
0.6215689903297406,0.5371863258553821,0.33731603795278114
0.6244184234588891,0.5385310825985118,0.34076949454809613
0.6272809191270057,0.5398758393416415,0.34424942291716704
0.6301565372161496,0.5412205960847712,0.34775581339818645
0.6330453378828956,0.542565352827901,0.3512886496519661
0.6359473815595914,0.5439101095710307,0.35484790849417763
0.6388627289556218,0.5452548663141603,0.3584335597265592
0.64179144105868,0.54659962305729,0.3620455659671989
0.6447335791360421,0.5479443798004199,0.36568388248000205
0.6476892047358489,0.5492891365435495,0.3693484570034697
0.6506583796883947,0.5506338932866792,0.3730392295789139
0.653641166107419,0.551978650029809,0.3767561323782354
0.6566376263914073,0.5533234067729388,0.3804990895314101
0.6596478232248955,0.5546681635160684,0.38426801695382123
0.6626718195797823,0.5560129202591981,0.38806282217359506
0.665709678716645,0.5573576770023279,0.3918834041590852
0.6687614641860643,0.5587024337454575,0.395729653146682
0.6718272398299534,0.5600471904885872,0.3996014504691037
0.6749070697828929,0.5613919472317169,0.40349866838434884
0.6780010184734729,0.5627367039748467,0.40742116990549554
0.6811091506256415,0.5640814607179764,0.4113688086315287
0.6842315312600572,0.5654262174611061,0.41534142857938844
0.6873682256954508,0.5667709742042358,0.41933886401744885
0.6905192995499903,0.5681157309473656,0.42336093930062074
0.6936848187426552,0.5694604876904953,0.42740746870730234
0.6968648494946144,0.570805244433625,0.4314782562783852
0.7000594583306111,0.5721500011767547,0.43557309565854996
0.7032687120803562,0.5734947579198845,0.439691769940074
0.7064926778799248,0.5748395146630142,0.44383405150939154
